movie_id,movie_title,year_released,imdb_id,tmdb_id,genres,production_countries,spoken_languages,popularity,overview,runtime,vote_average,vote_count,release_date,original_language
the-woman-king,The Woman King,2022,tt8093700,724495,"['Action', 'Drama', 'History']","['Canada', 'United States of America']",['Português'],188.786,"The story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen, and General Nanisca as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life.",135,6.804,69,2022-09-15,en
the-batman,The Batman,2022,tt1877830,414906,"['Crime', 'Mystery', 'Thriller']",['United States of America'],['English'],706.811,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",177,7.725,6376,2022-03-01,en
athena-2022-1,Athena,2022,tt15445056,852046,"['Drama', 'Action', 'Thriller']",['France'],['Français'],387.974,"Hours after the tragic death of their youngest brother in unexplained circumstances, three siblings have their lives thrown into chaos.",97,6.61,168,2022-09-09,fr
parasite-2019,Parasite,2019,tt6751668,496243,"['Comedy', 'Thriller', 'Drama']",['South Korea'],"['English', 'Deutsch', '한국어/조선말']",91.915,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",133,8.516,14483,2019-05-30,ko
american-psycho,American Psycho,2000,tt0144084,1359,"['Thriller', 'Drama', 'Crime']","['Canada', 'United States of America']","['English', 'Español', '广州话 / 廣州話']",70.477,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",102,7.384,8423,2000-04-13,en
midsommar,Midsommar,2019,tt8772262,530385,"['Horror', 'Drama', 'Mystery']","['Sweden', 'United States of America']","['English', 'svenska']",69.706,"Several friends travel to Sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. What begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.",147,7.14,5222,2019-07-03,en
elvis-2022,Elvis,2022,tt3704428,614934,"['Drama', 'History', 'Music']","['Australia', 'United States of America']",['English'],294.842,"The life story of Elvis Presley as seen through the complicated relationship with his enigmatic manager, Colonel Tom Parker.",159,7.83,1595,2022-06-22,en
speak-no-evil-2022,Speak No Evil,2022,tt14253846,833339,"['Drama', 'Horror', 'Thriller']","['Denmark', 'Netherlands']","['Dansk', 'Nederlands', 'English']",53.161,A Danish family visits a Dutch family they met on a holiday. What was supposed to be an idyllic weekend slowly starts unraveling as the Danes try to stay polite in the face of unpleasantness.,97,6.625,72,2022-03-17,da
interstellar,Interstellar,2014,tt0816692,157336,"['Adventure', 'Drama', 'Science Fiction']","['United Kingdom', 'United States of America']",['English'],222.568,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,169,8.377,29449,2014-11-05,en
get-out-2017,Get Out,2017,tt5052448,419430,"['Mystery', 'Thriller', 'Horror']",['United States of America'],['English'],110.907,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",104,7.607,14702,2017-02-24,en
joker-2019,Joker,2019,tt7286456,475557,"['Crime', 'Thriller', 'Drama']","['Canada', 'United States of America']",['English'],153.192,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",122,8.173,21345,2019-10-01,en
pulp-fiction,Pulp Fiction,1994,tt0110912,680,"['Thriller', 'Crime']",['United States of America'],"['English', 'Español', 'Français']",71.904,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",154,8.49,23843,1994-09-10,en
knives-out-2019,Knives Out,2019,tt8946378,546554,"['Comedy', 'Crime', 'Mystery']",['United States of America'],"['Español', 'English']",50.669,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",131,7.856,9335,2019-11-27,en
the-truman-show,The Truman Show,1998,tt0120382,37165,"['Comedy', 'Drama']",['United States of America'],"['English', 'Español']",54.83,"Truman Burbank is the star of The Truman Show, a 24-hour-a-day reality TV show that broadcasts every aspect of his life without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows, including his wife and his best friend is really an actor, paid to be part of his life.",103,8.121,15278,1998-06-04,en
top-gun-maverick,Top Gun: Maverick,2022,tt1745960,361743,"['Action', 'Drama']",['United States of America'],['English'],1580.086,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",131,8.354,4105,2022-05-24,en
la-la-land,La La Land,2016,tt3783958,313369,"['Comedy', 'Drama', 'Romance', 'Music']",['United States of America'],['English'],38.857,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",129,7.883,14573,2016-11-29,en
the-shining,The Shining,1980,tt0081505,694,"['Horror', 'Thriller']","['United States of America', 'United Kingdom']",['English'],63.383,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",144,8.223,14896,1980-05-23,en
spider-man-no-way-home,Spider-Man: No Way Home,2021,tt10872600,634649,"['Action', 'Adventure', 'Science Fiction']",['United States of America'],"['English', '']",1143.422,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.",148,8.036,15292,2021-12-15,en
the-munsters,The Munsters,2022,tt14813212,804413,"['Comedy', 'Fantasy']",['United States of America'],['English'],1013.794,"Lily is a typical 150-year-old lovelorn vampire who's looking for the man of her nightmares -- until she lays her eyes on Herman, a 7-foot-tall green experiment with a heart of gold. It's love at first shock as these two ghouls fall fangs over feet for each other in a Transylvanian romance. Unfortunately, it's not all smooth sailing in the cemetery as Lily's father has other plans for his beloved daughter's future, and they don't involve her new bumbling beau.",110,6.356,90,2022-09-27,en
black-swan,Black Swan,2010,tt0947798,44214,"['Drama', 'Thriller', 'Horror']",['United States of America'],"['English', 'Français', 'Italiano']",46.514,A journey through the psyche of a young ballerina whose starring role as the duplicitous swan queen turns out to be a part for which she becomes frighteningly perfect.,108,7.7,12615,2010-12-03,en
spider-man-into-the-spider-verse,Spider-Man: Into the Spider-Verse,2018,tt4633694,324857,"['Action', 'Adventure', 'Animation', 'Science Fiction']",['United States of America'],"['English', '日本語', 'Español']",110.483,"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",117,8.415,11796,2018-12-06,en
the-grand-budapest-hotel,The Grand Budapest Hotel,2014,tt2278388,120467,"['Comedy', 'Drama']","['Germany', 'United States of America']","['English', 'Français']",33.085,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",100,8.055,12657,2014-02-26,en
se7en,Se7en,1995,tt0114369,807,"['Crime', 'Mystery', 'Thriller']",['United States of America'],['English'],58.549,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",127,8.356,17689,1995-09-22,en
eternal-sunshine-of-the-spotless-mind,Eternal Sunshine of the Spotless Mind,2004,tt0338013,38,"['Science Fiction', 'Drama', 'Romance']",['United States of America'],['English'],46.257,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",108,8.102,12648,2004-03-19,en
inception,Inception,2010,tt1375666,27205,"['Action', 'Science Fiction', 'Adventure']","['United Kingdom', 'United States of America']","['Kiswahili', 'English', '日本語']",112.623,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",148,8.358,32353,2010-07-15,en
the-dark-knight,The Dark Knight,2008,tt0468569,155,"['Drama', 'Action', 'Crime', 'Thriller']","['United Kingdom', 'United States of America']","['English', '普通话']",91.518,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",152,8.502,28335,2008-07-14,en
spirited-away,Spirited Away,2001,tt0245429,129,"['Animation', 'Family', 'Fantasy']",['Japan'],['日本語'],101.979,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",125,8.5,13388,2001-07-20,ja
lady-bird,Lady Bird,2017,tt4925292,391713,"['Drama', 'Comedy']",['United States of America'],['English'],34.197,"Lady Bird McPherson, a strong willed, deeply opinionated, artistic 17 year old comes of age in Sacramento. Her relationship with her mother and her upbringing are questioned and tested as she plans to head off to college.",94,7.3,7248,2017-09-01,en
10-things-i-hate-about-you,10 Things I Hate About You,1999,tt0147800,4951,"['Comedy', 'Romance', 'Drama']",['United States of America'],"['English', 'Français']",38.47,"On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.",97,7.553,6705,1999-03-30,en
gone-girl,Gone Girl,2014,tt2267998,210577,"['Mystery', 'Thriller', 'Drama']",['United States of America'],['English'],62.822,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",149,7.89,16245,2014-10-01,en
taxi-driver,Taxi Driver,1976,tt0075314,103,"['Crime', 'Drama']",['United States of America'],"['English', 'Español']",45.672,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,114,8.173,9829,1976-02-09,en
the-wolf-of-wall-street,The Wolf of Wall Street,2013,tt0993846,106646,"['Crime', 'Drama', 'Comedy']",['United States of America'],"['English', 'Français']",169.636,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",180,8.032,20385,2013-12-25,en
little-women-2019,Little Women,2019,tt3281548,331482,"['Drama', 'Romance', 'History']",['United States of America'],"['Français', 'English']",40.708,Four sisters come of age in America in the aftermath of the Civil War.,135,7.916,5043,2019-12-25,en
dead-poets-society,Dead Poets Society,1989,tt0097165,207,['Drama'],['United States of America'],['English'],39.607,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",128,8.323,9418,1989-06-02,en
hereditary,Hereditary,2018,tt7784604,493922,"['Horror', 'Mystery', 'Thriller']",['United States of America'],['English'],64.955,"When Ellen, the matriarch of the Graham family, passes away, her daughter's family begins to unravel cryptic and increasingly terrifying secrets about their ancestry.",128,7.255,6045,2018-06-07,en
howls-moving-castle,Howl's Moving Castle,2004,tt0347149,4935,"['Fantasy', 'Animation', 'Adventure']",['Japan'],['日本語'],96.007,"When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",119,8.402,7639,2004-09-09,ja
the-perks-of-being-a-wallflower,The Perks of Being a Wallflower,2012,tt1659337,84892,['Drama'],['United States of America'],['English'],45.491,"Pittsburgh, Pennsylvania, 1991. High school freshman Charlie is a wallflower, always watching life from the sidelines, until two senior students, Sam and her stepbrother Patrick, become his mentors, helping him discover the joys of friendship, music and love.",103,7.774,9197,2012-09-20,en
the-silence-of-the-lambs,The Silence of the Lambs,1991,tt0102926,274,"['Crime', 'Drama', 'Thriller']",['United States of America'],['English'],17.025,"Clarice Starling is a top student at the FBI's training academy. Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism. Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",119,8.342,13737,1991-02-14,en
hocus-pocus,Hocus Pocus,1993,tt0107120,10439,"['Fantasy', 'Comedy', 'Family']",['United States of America'],"['Français', 'English']",670.495,"After 300 years of slumber, three sister witches are accidentally resurrected in Salem on Halloween night, and it is up to three kids and their newfound feline friend to put an end to the witches' reign of terror once and for all.",96,7.044,2286,1993-07-16,en
the-black-phone,The Black Phone,2021,tt7144666,756999,"['Horror', 'Thriller']",['United States of America'],"['English', 'Deutsch']",1561.743,"Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",103,7.907,2709,2021-06-24,en
kill-bill-vol-1,Kill Bill: Vol. 1,2003,tt0266697,24,"['Action', 'Crime']",['United States of America'],"['English', '日本語', 'Français']",51.847,"An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.",111,7.969,15024,2003-10-10,en
coraline,Coraline,2009,tt0327597,14836,"['Animation', 'Family', 'Fantasy']",['United States of America'],"['Pусский', 'English']",328.197,"When Coraline moves to an old house, she feels bored and neglected by her parents. She finds a hidden door with a bricked up passage. During the night, she crosses the passage and finds a parallel world where everybody has buttons instead of eyes, with caring parents and all her dreams coming true. When the Other Mother invites Coraline to stay in her world forever, the girl refuses and finds that the alternate reality where she is trapped is only a trick to lure her.",100,7.8,6053,2009-02-05,en
dune-2021,Dune,2021,tt1160419,438631,"['Science Fiction', 'Adventure']",['United States of America'],"['普通话', 'English']",169.044,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",155,7.854,7753,2021-09-08,en
forrest-gump,Forrest Gump,1994,tt0109830,13,"['Comedy', 'Drama', 'Romance']",['United States of America'],['English'],76.117,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",142,8.479,23382,1994-06-23,en
shutter-island,Shutter Island,2010,tt1130884,11324,"['Drama', 'Thriller', 'Mystery']",['United States of America'],"['English', 'Deutsch']",70.757,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",138,8.19,20515,2010-02-14,en
donnie-darko,Donnie Darko,2001,tt0246578,141,"['Fantasy', 'Drama', 'Mystery']",['United States of America'],['English'],35.001,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",114,7.791,10687,2001-10-24,en
bros,Bros,2022,tt9731598,614939,"['Comedy', 'Romance']",['United States of America'],['English'],58.922,Two men with commitment problems attempt a relationship.,115,6.167,6,2022-09-30,en
inglourious-basterds,Inglourious Basterds,2009,tt0361748,16869,"['Drama', 'Action', 'Thriller', 'War']","['France', 'Germany', 'United States of America']","['Deutsch', 'English', 'Français', 'Italiano']",82.521,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",153,8.211,19246,2009-08-19,en
the-godfather,The Godfather,1972,tt0068646,238,"['Drama', 'Crime']",['United States of America'],"['English', 'Italiano', 'Latin']",95.057,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",175,8.715,16673,1972-03-14,en
ratatouille,Ratatouille,2007,tt0382932,2062,"['Animation', 'Comedy', 'Family', 'Fantasy']",['United States of America'],"['English', 'Français']",174.723,"Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.",111,7.785,14391,2007-06-28,en
once-upon-a-time-in-hollywood,Once Upon a Time… in Hollywood,2019,tt7131622,466272,"['Comedy', 'Drama', 'Thriller']","['China', 'United Kingdom', 'United States of America']","['English', 'Italiano', 'Español']",53.587,"Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…",162,7.436,10931,2019-07-24,en
doctor-strange-in-the-multiverse-of-madness,Doctor Strange in the Multiverse of Madness,2022,tt9419884,453395,"['Fantasy', 'Action', 'Adventure']",['United States of America'],"['广州话 / 廣州話', 'English', 'Español']",1062.248,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",126,7.469,5918,2022-05-04,en
call-me-by-your-name,Call Me by Your Name,2017,tt5726616,398818,"['Romance', 'Drama']","['Brazil', 'France', 'Italy', 'United States of America']","['Français', 'English', 'Italiano']",107.618,"In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant.",132,8.198,10542,2017-09-01,en
fantastic-mr-fox,Fantastic Mr. Fox,2009,tt0432283,10315,"['Adventure', 'Animation', 'Comedy', 'Family']",['United States of America'],['English'],25.478,"The Fantastic Mr. Fox bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.",87,7.771,4247,2009-10-23,en
scream,Scream,1996,tt0117571,4232,"['Crime', 'Horror', 'Mystery']",['United States of America'],['English'],80.349,"A killer known as Ghostface begins killing off teenagers, and as the body count begins rising, one girl and her friends find themselves contemplating the 'rules' of horror films as they try to survive a real-life one.",112,7.353,5311,1996-12-20,en
the-social-network,The Social Network,2010,tt1285016,37799,['Drama'],['United States of America'],['English'],34.628,"The tale of a new breed of cultural insurgent: a punk genius who sparked a revolution and changed the face of human interaction for a generation, and perhaps forever.",121,7.341,10315,2010-10-01,en
us-2019,Us,2019,tt6857112,458723,"['Horror', 'Thriller', 'Mystery']",['United States of America'],['English'],42.316,"Husband and wife Gabe and Adelaide Wilson take their kids to their beach house expecting to unplug and unwind with friends. But as night descends, their serenity turns to tension and chaos when some shocking visitors arrive uninvited.",116,6.977,6156,2019-03-14,en
django-unchained,Django Unchained,2012,tt1853728,68718,"['Drama', 'Western']",['United States of America'],"['English', 'Français', 'Deutsch']",70.26,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",165,8.152,23075,2012-12-25,en
baby-driver,Baby Driver,2017,tt3890160,339403,"['Action', 'Crime']",['United Kingdom'],['English'],68.417,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",113,7.458,13606,2017-06-28,en
avengers-infinity-war,Avengers: Infinity War,2018,tt4154756,299536,"['Adventure', 'Action', 'Science Fiction']",['United States of America'],"['English', '']",392.002,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",149,8.266,25476,2018-04-25,en
the-lord-of-the-rings-the-fellowship-of-the-ring,The Lord of the Rings: The Fellowship of the Ring,2001,tt0120737,120,"['Adventure', 'Fantasy', 'Action']","['New Zealand', 'United States of America']",['English'],225.538,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",179,8.387,21575,2001-12-18,en
